feature_set,split,model,rmse,mae,r2
acs_socio_occupancy,validation,Group Mean Baseline,34.18117502030267,23.181626731680904,0.4966957586445777
acs_socio_occupancy,validation,Random Forest,21.830618172374614,12.334323698642542,0.7947001266246414
acs_socio_occupancy,validation,XGBoost,21.025294634595586,12.323942892052944,0.8095676201007387
acs_socio_occupancy,test,Group Mean Baseline,29.07468388988758,20.487588273586585,0.5323232780246371
acs_socio_occupancy,test,Random Forest,19.396283578739702,13.064240922970617,0.791861317729426
acs_socio_occupancy,test,XGBoost,21.154885448072424,13.717164012173805,0.7524077156600367
weather_acs_socio_occupancy,validation,Group Mean Baseline,34.18117502030267,23.181626731680904,0.4966957586445777
weather_acs_socio_occupancy,validation,Random Forest,21.570366616359625,12.11431482189147,0.7995658737290967
weather_acs_socio_occupancy,validation,XGBoost,21.68914946106582,12.811435383683857,0.7973523101888104
weather_acs_socio_occupancy,test,Group Mean Baseline,29.07468388988758,20.487588273586585,0.5323232780246371
weather_acs_socio_occupancy,test,Random Forest,18.21737932210435,11.26081696928547,0.8163937107998177
weather_acs_socio_occupancy,test,XGBoost,19.657319059352027,12.336569401865646,0.7862213529019769
all_external_plus_acs_socio_occupancy,validation,Group Mean Baseline,34.18117502030267,23.181626731680904,0.4966957586445777
all_external_plus_acs_socio_occupancy,validation,Random Forest,21.546070899259885,12.05082507876214,0.8000171361888235
all_external_plus_acs_socio_occupancy,validation,XGBoost,21.66183585480151,13.15355354970626,0.7978623858857505
all_external_plus_acs_socio_occupancy,test,Group Mean Baseline,29.07468388988758,20.487588273586585,0.5323232780246371
all_external_plus_acs_socio_occupancy,test,Random Forest,18.145069613768552,11.19642032153858,0.8178483841577799
all_external_plus_acs_socio_occupancy,test,XGBoost,19.046648067758813,11.716408786869826,0.7992974616361249
